№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
18;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-13;2026-01-13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-12,03;-2,65;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322309;4636696;14,68;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
19;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-13;2026-01-13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,61;-0,14;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515282;8130884;0,75;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
20;0;;0;;;;;;;Хранение;2026-01-13;2026-01-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;76b8f5d387d8c79b9ccef1b8a93b3066f0054613;0;;16,8;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
21;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-14;2026-01-14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-7,75;-1,7;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322337;4453639;9,45;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
22;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-14;2026-01-14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-5,57;-1,23;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515286;7815002;6,8;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
23;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-14;2026-01-14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-4,39;-0,97;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515382;7815003;5,36;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
24;0;;0;;;;;;;Хранение;2026-01-14;2026-01-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;0c483c0cd81286324f700426fc45862ad94aa62d;0;;16,66;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
25;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-15;2026-01-15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,74;-0,38;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515278;7772779;2,12;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
26;0;;0;;;;;;;Хранение;2026-01-15;2026-01-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;7bdb5821fab461473a76e077e951cd3f02a0f539;0;;16,66;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
27;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-16;2026-01-16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,63;-0,36;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322337;4487077;1,99;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
