Дата начисления;Тип начисления;Номер отправления или идентификатор услуги;Дата принятия заказа в обработку или оказания услуги;Склад отгрузки;SKU;Артикул;Название товара или услуги;Количество;За продажу или возврат до вычета комиссий и услуг;Вознаграждение Ozon, %;Вознаграждение Ozon;Сборка заказа;Обработка отправления (Drop-off/Pick-up) (разбивается по товарам пропорционально количеству в отправлении);Магистраль;Последняя миля (разбивается по товарам пропорционально доле цены товара в сумме отправления);Обратная магистраль;Обработка возврата;Обработка отмененного или невостребованного товара (разбивается по товарам в отправлении в одинаковой пропорции);Обработка невыкупленного товара;Логистика;Индекс локализации;Среднее время доставки, часы;Обратная логистика;Итого, руб.
18.01.2026;Услуга размещения товаров на складе;;18.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-65,66
19.01.2026;Оплата эквайринга;0232010904-0003;19.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-7,08
19.01.2026;Оплата эквайринга;0232010904-0003;19.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;7,08
19.01.2026;Оплата эквайринга;33124789-0335;19.01.2026;;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-4,88
19.01.2026;Доставка покупателю;33558504-0277-3;14.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00;27%;-127,44;0,00;0,00;0,00;-2,87;0,00;0,00;0,00;0,00;-46,77;;;0,00;294,92
19.01.2026;Доставка покупателю;33558504-0277-1;14.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00;27%;-127,44;0,00;0,00;0,00;-2,87;0,00;0,00;0,00;0,00;-46,77;;;0,00;294,92
19.01.2026;Звёздные товары;33558504-0277-1;14.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,36
19.01.2026;Звёздные товары;33558504-0277-3;14.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,36
19.01.2026;Бонусы продавца;33558504-0277-3;14.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,25
19.01.2026;Бонусы продавца;33558504-0277-1;14.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,25
19.01.2026;Оплата эквайринга;05941225-0368;19.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-6,84
19.01.2026;Доставка покупателю;45808830-0347-1;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00;27%;-141,48;0,00;0,00;0,00;-4,40;0,00;0,00;0,00;0,00;-46,77;;;0,00;331,35
19.01.2026;Звёздные товары;45808830-0347-1;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,62
19.01.2026;Бонусы продавца;45808830-0347-1;16.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,52
19.01.2026;Доставка покупателю;40586590-0373-1;15.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00;27%;-141,48;0,00;0,00;0,00;-2,82;0,00;0,00;0,00;0,00;-46,77;;;0,00;332,93
19.01.2026;Звёздные товары;40586590-0373-1;15.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,62
19.01.2026;Услуга размещения товаров на складе;;19.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-64,91
20.01.2026;Оплата эквайринга;0102139733-0370;20.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-7,00
20.01.2026;Оплата эквайринга;44802518-0197;20.01.2026;;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-4,90
20.01.2026;Оплата эквайринга;0142257096-0225;20.01.2026;;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-4,98
20.01.2026;Оплата эквайринга;20207611-0310;20.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;3;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-17,79
