Период: 16.01.2026-22.01.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
33558504-0277-3;19.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;14.01.2026;;;0%;;;-2,25 ₽
33558504-0277-1;19.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;14.01.2026;;;0%;;;-2,25 ₽
05941225-0368;19.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;19.01.2026;;;0%;;;-6,84 ₽
45808830-0347-1;19.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;27%;;;-46,77 ₽
45808830-0347-1;19.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;0%;;;384,76 ₽
45808830-0347-1;19.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;0%;;;3,85 ₽
45808830-0347-1;19.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;0%;;;135,39
45808830-0347-1;19.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;27%;;;-141,48 ₽
45808830-0347-1;19.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;16.01.2026;Ozon;FBO;27%;;;-4,40 ₽
45808830-0347-1;19.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;Ozon;FBO;0%;;;-2,62 ₽
45808830-0347-1;19.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;;;0%;;;-2,52 ₽
40586590-0373-1;19.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-46,77 ₽
40586590-0373-1;19.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;372,38 ₽
40586590-0373-1;19.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;3,72 ₽
40586590-0373-1;19.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;147,90
40586590-0373-1;19.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-141,48 ₽
